vertex_num,face_num
9479,17540
10692,19992
15271,28572
8041,14716
8658,16301
18733,35343
28100,52349
3044,5486
13130,24918
8618,16399
28415,54258
18011,33834
23831,45810
12575,24354
9479,17540
8328,15260
15758,29884
5633,10570
5428,10228
9831,18921
17355,32639
24169,45382
14619,27430
8008,15085
16859,31176
15270,29342
9730,18380
10890,20370
10553,20086
16834,31350
4186,7344
22188,41742
1431,2366
10947,20120
5967,10662
5887,10826
17016,32085
16561,31002
13482,25578
13370,25606
5256,9475
13952,26308
13604,26092
17772,32982
23133,43112
18555,33982
12037,22887
3781,7208
10461,19052
14605,27216
9150,17064
3942,7297
20211,38274
42668,82010
11799,20836
4660,8461
33274,64088
19441,37008
21596,39675
18484,34634
15163,28490
35466,68376
5055,8936
6671,12782
28237,53475
15670,29467
20269,38246
4252,7920
12941,23614
24324,46186
16468,30553
10552,19876
20647,38426
7613,14592
7320,13716
17099,32482
20545,38510
11634,21908
2185,3852
11975,22193
11762,21577
12133,22860
10295,19928
7542,13692
10813,20789
11840,21647
16176,29962
7409,13306
37566,67628
6537,11976
39655,76702
27067,50761
14295,26052
22858,44038
11510,21550
17024,31304
17604,33162
15355,28128
42296,81948
9013,16178
8230,14840
12862,23718
9127,17038
14600,27218
4713,8928
12058,22084
12772,23762
7060,13002
12407,23182
3562,6322
12353,22242
15901,30190
11661,21606
20269,38246
6776,12621
8493,16155
24881,47292
2023,3739
13905,25992
10265,18762
6780,12284
8996,16372
3438,5918
13947,26928
8548,15334
23338,43249
5778,10932
16475,29562
6006,10612
19441,37008
22077,41016
11821,22829
25709,48702
22350,43309
38538,72372
13579,25306
6268,11522
16290,31144
11130,21437
16950,31652
9267,17024
6627,11722
12075,22640
12405,23070
13065,24728
25785,48172
11254,21619
19786,37214
5678,10758
8008,14646
13388,24852
2522,4482
3967,7022
15410,29657
24907,45950
12828,23844
6595,12128
10107,18597
5317,9531
14053,26186
8610,16527
12022,22631
6160,10644
3902,6980
4401,8218
12058,22206
9540,17822
24552,45708
15765,29927
8338,16057
8023,14632
13791,24662
9849,18179
46252,90464
30977,57328
12725,23798
13298,24604
20075,38325
8116,15141
22751,43240
11390,21828
16913,31734
3020,5438
10921,20099
22091,41344
16984,33094
3047,5390
10492,20249
3261,5816
25195,48145
3855,6990
38133,73556
15245,28143
14847,27684
12068,22064
17026,31257
6804,12897
13253,24686
14323,26906
9717,18263
18885,35574
20978,38650
22972,42648
10697,19586
6144,11240
12104,22486
4439,8304
18873,35230
8704,16266
10901,20816
19924,37752
22847,43650
10768,20255
4182,7652
16682,31443
12879,24332
18447,35299
6229,11364
24412,45648
8870,16840
16529,31540
16202,30534
4685,8440
11813,22118
18929,35014
32001,61617
20015,38651
9773,18028
19647,36738
1376,2384
11713,22688
14933,28202
7010,12860
10834,20960
14847,28530
6791,12863
12348,22261
17351,31978
3156,5612
14979,27864
16777,31872
3796,6684
16485,30840
30692,58328
9391,17534
30021,56098
7385,14025
7679,13954
8178,15170
8902,16598
10426,19714
3999,7189
10782,20655
12238,23150
12778,24451
11825,21968
13396,24486
16467,32027
24054,44614
39958,77288
6157,11431
17574,33404
36718,69688
27636,52787
13698,25950
15126,28290
22912,42334
8192,15280
20671,39569
11746,22422
23748,44908
7059,13152
10848,20054
12673,24109
19340,37188
10109,19530
17661,32634
8731,16584
14914,28283
13443,25906
17072,32788
10358,18154
10335,19660
12400,22930
12626,24152
8203,14904
8127,14756
11916,22392
4058,7483
12209,23382
9980,18738
11849,22140
24054,44614
9106,16571
14999,28117
7484,13446
12037,23092
3882,7378
18767,34294
19733,37086
3301,5978
13590,25582
24332,46068
4058,7483
6022,11420
6027,11494
30098,58033
10483,19844
16750,31012
12565,23244
11263,20552
36433,70358
15042,28348
11281,21193
13444,25068
19777,37831
10161,18591
8272,15819
25019,46230
7399,14040
10939,21122
6912,12499
15678,29351
39079,71912
7994,15190
21140,40073
12984,24295
8686,16490
14925,27009
6689,12753
3561,6458
8690,16340
14776,27068
13710,25816
24349,47614
7312,13340
16037,31096
3888,7068
7516,13797
14569,28253
45354,88511
4232,7922
29012,55982
16439,31628
16867,31390
14325,26304
8739,16280
17111,33260
17803,33684
35961,69598
12285,22449
2819,5056
13480,24114
42586,81382
20771,38890
4831,9062
8803,16306
20035,37622
9642,17770
8671,16136
19042,34982
10074,18837
13521,25404
7071,13433
7657,14379
18043,34366
13043,24781
23109,43981
7825,13987
7873,14700
12187,22358
23077,42107
20138,37602
14224,26518
20913,39809
5557,10586
3648,6597
27532,51232
2640,4962
8861,17000
16510,31680
8677,16202
12285,22449
16355,30254
18197,33644
6666,12014
8590,15934
16629,31671
11560,20890
18478,34618
6055,10828
8614,16037
13010,24036
5645,10759
4509,7828
5877,10818
8196,15752
12515,23984
9611,17850
10783,19542
9213,17510
12065,23314
17044,32013
6102,11320
10445,19680
6936,13194
17596,33393
34512,67096
8255,15698
8813,16876
46812,91718
24712,45046
9107,17532
5853,10894
12474,23318
15029,28273
11026,21266
9921,18440
13093,24072
21842,39266
14337,27118
11929,22758
24012,45204
3082,5560
3856,7386
13424,25390
22450,42269
13253,25370
18432,34752
10126,19487
4137,7542
27351,53579
5419,10158
5996,11367
16659,31248
10616,19974
7182,13392
24575,46839
5520,10120
16225,29994
12746,23799
8614,15872
11389,20271
9809,18260
12159,22912
10134,18372
21017,38996
5559,10543
23800,44344
13687,25420
11280,21695
22183,42538
9383,17864
4344,8120
18442,34038
11284,21610
6622,12664
18379,35805
4743,8602
13586,25125
33253,64610
11925,22348
21084,39876
25223,48832
12068,22481
10076,17827
5663,10290
23366,43587
15887,29801
32236,59774
16621,30996
9743,18294
10358,18922
9213,17061
24544,46448
17662,33466
10396,19928
2704,4929
6376,11630
34679,67159
11900,22312
16432,31008
11085,20576
17083,32106
18470,34882
10342,18696
7660,14531
8900,16464
4771,8998
19456,36001
5141,9702
8267,15166
18927,35141
5113,9119
9617,16910
7629,14040
8383,15448
8411,15645
3559,6028
8526,16238
12215,22906
9130,17414
957,1669
14898,27128
27318,52868
20716,39760
10887,20000
8919,16150
13393,25234
47781,91932
34976,67489
4583,8064
18649,35098
15485,29257
6336,11574
30383,57665
1090,1944
20274,39185
6757,12909
13419,26017
29816,57582
13573,25226
12389,23638
7123,13063
8752,16681
16279,29279
9387,17292
4563,8640
28487,52699
21760,40907
9249,16350
9903,17964
9015,17331
17302,32594
10818,20204
13184,24988
14017,25796
17174,32424
5732,10802
9999,19106
20794,38928
8608,16552
31234,59463
5164,9158
22243,41614
55516,108356
5708,10696
14234,27320
34783,64365
6285,11614
20148,37767
14489,27238
6616,12646
6829,13012
18028,34694
19511,37534
11582,22440
15801,30176
9364,17235
3365,6185
32965,63585
11779,22236
11430,21144
11974,22256
8760,16856
10589,19239
15479,28392
16332,30556
7686,14482
11512,21664
18387,34144
34945,66965
35915,67724
9935,19163
6623,12108
6205,11224
5274,9732
11803,22428
9868,18834
22025,41699
11567,21188
10539,19990
11593,22486
14352,26876
17994,34190
6943,13034
10581,20315
16172,29751
21042,39289
3621,6531
6012,11382
14214,26804
26759,51283
24490,46060
8596,16527
6102,11386
4061,7410
3165,5720
21317,39196
20669,38204
7407,14120
7456,14331
12491,24398
8358,14820
14213,26716
4020,7242
39167,74663
12925,24018
14817,26707
9878,18849
15406,29344
17181,32638
20371,38168
18148,33662
12214,23478
9812,18362
6623,12079
3307,5826
16790,32165
20360,38650
19730,36907
11572,22217
10436,19021
22986,42626
8985,17253
13519,25241
21022,38453
9126,17314
4819,9062
13239,25620
18446,33527
9564,17439
9053,16801
8159,15121
7764,14271
3801,6674
21457,40215
17454,32852
21495,39850
13753,25319
18389,34374
6012,11382
6277,11978
55783,101310
6339,12020
18979,35105
13086,23889
10887,20500
19120,36103
11780,22040
5301,9611
6640,12504
7941,14526
3301,5978
15510,28420
20049,37338
32677,61118
2190,4082
4683,8752
8504,15866
5057,9034
3371,6116
5137,9326
11209,21517
9886,19153
11172,20629
